horizon_steps,horizon_label,fold_id,model,n_test_rows,mae_norm,rmse_norm,bias_norm,mae_kw_250,rmse_kw_250,bias_kw_250,persistence_mae_norm,persistence_rmse_norm,persistence_mae_kw_250,persistence_rmse_kw_250,mae_skill_vs_persistence,rmse_skill_vs_persistence
4,2 h,4,RollingMean,674,0.012702047146515016,0.023467074395793954,-0.0010432954841690758,3.1755117866287543,5.8667685989484895,-0.26082387104226895,0.011215740306357674,0.022509691171262586,2.8039350765894184,5.627422792815647,-0.1325197267018412,-0.042532046186116945
4,2 h,5,Persistence,710,0.012024075419634813,0.019877951090833484,0.0004784122397697109,3.006018854908703,4.969487772708371,0.11960305994242777,0.012024075419634813,0.019877951090833484,3.006018854908703,4.969487772708371,0.0,0.0
4,2 h,5,RandomForest,710,0.02044875396920379,0.03046351232658818,-0.008488709389649884,5.112188492300947,7.615878081647045,-2.122177347412471,0.012024075419634813,0.019877951090833484,3.006018854908703,4.969487772708371,-0.7006508405471101,-0.532527783541842
4,2 h,5,Ridge,710,0.015617799095506413,0.02141922122741063,-0.005035677654285126,3.904449773876603,5.354805306852658,-1.2589194135712811,0.012024075419634813,0.019877951090833484,3.006018854908703,4.969487772708371,-0.2988773398745652,-0.07753667012934184
4,2 h,5,RollingMean,710,0.013758036186913757,0.022704277056391435,0.00033404122186624796,3.4395090467284395,5.67606926409786,0.08351030546656203,0.012024075419634813,0.019877951090833484,3.006018854908703,4.969487772708371,-0.14420740944850174,-0.14218396818881818
8,4 h,1,Persistence,546,0.037617250802039995,0.05716846863452312,0.0031027145148408374,9.40431270051,14.29211715863078,0.7756786287102094,0.037617250802039995,0.05716846863452312,9.40431270051,14.29211715863078,0.0,0.0
8,4 h,1,RandomForest,546,0.045979440334692964,0.07128318850832205,-0.00975178347530931,11.494860083673238,17.820797127080514,-2.437945868827328,0.037617250802039995,0.05716846863452312,9.40431270051,14.29211715863078,-0.22229666853271168,-0.2468969383111177
8,4 h,1,Ridge,546,0.04151913813362325,0.05793957108270027,-0.000885775020219722,10.379784533405811,14.484892770675067,-0.2214437550549307,0.037617250802039995,0.05716846863452312,9.40431270051,14.29211715863078,-0.10372600996592896,-0.013488247395724295
8,4 h,1,RollingMean,546,0.04009456069676098,0.05882178830683641,0.004114282645200906,10.023640174190245,14.7054470767091,1.0285706613002266,0.037617250802039995,0.05716846863452312,9.40431270051,14.29211715863078,-0.06585568700269384,-0.028920132230284556
8,4 h,2,Persistence,580,0.03509256226480929,0.055834332795374246,-0.004200538564016239,8.773140566202322,13.958583198843561,-1.0501346410040597,0.03509256226480929,0.055834332795374246,8.773140566202322,13.958583198843561,0.0,0.0
8,4 h,2,RandomForest,580,0.051575583344090944,0.08713823274818963,-0.024462170256306235,12.893895836022738,21.78455818704741,-6.115542564076558,0.03509256226480929,0.055834332795374246,8.773140566202322,13.958583198843561,-0.4697012704544168,-0.5606568286136813
8,4 h,2,Ridge,580,0.03967630584413861,0.05533907613549516,-0.010840021406389198,9.919076461034651,13.834769033873789,-2.7100053515972995,0.03509256226480929,0.055834332795374246,8.773140566202322,13.958583198843561,-0.1306186634290274,0.008870109752974753
8,4 h,2,RollingMean,580,0.0371286625241158,0.05681817470754216,-0.0048955422693014615,9.282165631028949,14.20454367688554,-1.2238855673253652,0.03509256226480929,0.055834332795374246,8.773140566202322,13.958583198843561,-0.05802084908881966,-0.017620733747702788
8,4 h,3,Persistence,614,0.024909148374322215,0.04430012458861586,-0.003304034140530374,6.227287093580553,11.075031147153965,-0.8260085351325935,0.024909148374322215,0.04430012458861586,6.227287093580553,11.075031147153965,0.0,0.0
8,4 h,3,RandomForest,614,0.11288938055358591,0.18151398092227206,-0.09547661372854675,28.22234513839647,45.37849523056802,-23.869153432136688,0.024909148374322215,0.04430012458861586,6.227287093580553,11.075031147153965,-3.5320449682639,-3.0973695358165445
8,4 h,3,Ridge,614,0.032567590356864524,0.04557855021063183,-0.01425666667051526,8.14189758921613,11.394637552657958,-3.5641666676288155,0.024909148374322215,0.04430012458861586,6.227287093580553,11.075031147153965,-0.30745499073091853,-0.02885828502487997
8,4 h,3,RollingMean,614,0.026397679965409336,0.045766355710722635,-0.0039949374651403365,6.599419991352335,11.441588927680659,-0.9987343662850839,0.024909148374322215,0.04430012458861586,6.227287093580553,11.075031147153965,-0.05975842966279754,-0.033097674910006036
8,4 h,4,Persistence,649,0.0155158244250623,0.027923192301560096,-0.0010159937880556984,3.878956106265576,6.980798075390024,-0.2539984470139246,0.0155158244250623,0.027923192301560096,3.878956106265576,6.980798075390024,0.0,0.0
8,4 h,4,RandomForest,649,0.09950366862459457,0.1730590508077942,-0.08815512177544975,24.875917156148645,43.264762701948555,-22.038780443862432,0.0155158244250623,0.027923192301560096,3.878956106265576,6.980798075390024,-5.413044250737262,-5.197681444829832
8,4 h,4,Ridge,649,0.02204107646893849,0.028083311702167737,-0.012018964279641966,5.510269117234621,7.020827925541935,-3.0047410699104917,0.0155158244250623,0.027923192301560096,3.878956106265576,6.980798075390024,-0.42055464570326806,-0.005734279908916173
8,4 h,4,RollingMean,649,0.016910962316120177,0.029911977876779922,-0.0013834321606782983,4.227740579030044,7.4779944691949805,-0.3458580401695746,0.0155158244250623,0.027923192301560096,3.878956106265576,6.980798075390024,-0.08991709707699114,-0.07122343153825983
8,4 h,5,Persistence,683,0.01669695324657859,0.02684950676100879,0.0018687398460751705,4.174238311644648,6.7123766902521975,0.46718496151879263,0.01669695324657859,0.02684950676100879,4.174238311644648,6.7123766902521975,0.0,0.0
8,4 h,5,RandomForest,683,0.037356079489497956,0.06984821188806128,-0.020666094624057548,9.339019872374488,17.462052972015318,-5.1665236560143875,0.01669695324657859,0.02684950676100879,4.174238311644648,6.7123766902521975,-1.2372991609803226,-1.6014709510230478
8,4 h,5,Ridge,683,0.02000207191605123,0.026821028513371103,-0.005645192675700877,5.000517979012807,6.705257128342775,-1.411298168925219,0.01669695324657859,0.02684950676100879,4.174238311644648,6.7123766902521975,-0.1979474111631654,0.0010606618546543656
8,4 h,5,RollingMean,683,0.01777355611626051,0.029505582315995458,0.0020360118203391333,4.443389029065128,7.3763955789988636,0.5090029550847834,0.01669695324657859,0.02684950676100879,4.174238311644648,6.7123766902521975,-0.06447900127542905,-0.09892455673874267
