interval_method,interval_level,interval_level_pct,model,horizon_steps,horizon_hours,horizon_label,folds,mean_coverage,std_coverage,mean_coverage_error,mean_width_norm,median_width_norm,mean_width_kw_250,median_width_kw_250,mean_interval_score_norm
GlobalResidual,0.8,80,Persistence,8,4.0,4 h,5,0.779959534551273,0.11393845529473857,-0.020040465448727108,0.06785028516931906,0.0729259489579312,16.962571292329763,18.2314872394828,0.16236409141818467
GlobalResidual,0.8,80,RandomForest,1,0.5,30 min,5,0.7643435024606194,0.10703498054805186,-0.035656497539380536,0.07403892130707682,0.08100446632370739,18.50973032676921,20.251116580926848,0.15356253686630378
GlobalResidual,0.8,80,RandomForest,2,1.0,1 h,5,0.7425880729685732,0.11445545294323185,-0.057411927031426814,0.07439170111576662,0.08100446632370739,18.597925278941652,20.251116580926848,0.1758287926921662
GlobalResidual,0.8,80,RandomForest,4,2.0,2 h,5,0.7036524278393629,0.11545165204670843,-0.09634757216063716,0.07466376438068585,0.08100446632370739,18.665941095171462,20.251116580926848,0.23271685187033486
GlobalResidual,0.8,80,RandomForest,8,4.0,4 h,5,0.6317357653617041,0.13336002554072235,-0.168264234638296,0.07644978273463483,0.08100446632370739,19.11244568365871,20.251116580926848,0.5248950206879968
GlobalResidual,0.8,80,Ridge,1,0.5,30 min,5,0.8692137099951983,0.09533010894568995,0.0692137099951983,0.07172275816023793,0.07784601542112456,17.930689540059483,19.46150385528114,0.11380947692874326
GlobalResidual,0.8,80,Ridge,2,1.0,1 h,5,0.8572229172355176,0.10071628614272761,0.057222917235517576,0.07238808252556617,0.07826551475537194,18.09702063139154,19.566378688842985,0.11974949644467266
GlobalResidual,0.8,80,Ridge,4,2.0,2 h,5,0.8151910085351899,0.12263960584756657,0.015191008535189777,0.0730177418314967,0.0784499599939946,18.254435457874177,19.61248999849865,0.13744519273826633
GlobalResidual,0.8,80,Ridge,8,4.0,4 h,5,0.7733818991941095,0.14194931449281828,-0.026618100805890534,0.07491872665999913,0.07908538616852422,18.72968166499978,19.771346542131056,0.16726369610255504
GlobalResidual,0.8,80,RollingMean,1,0.5,30 min,5,0.8723846607551096,0.09118763561874142,0.07238466075510948,0.06852844270715734,0.07536147986817647,17.13211067678934,18.84036996704412,0.11052379286685576
GlobalResidual,0.8,80,RollingMean,2,1.0,1 h,5,0.858748629577437,0.09449061891484503,0.05874862957743694,0.06847576301781709,0.07522556566191674,17.11894075445427,18.806391415479187,0.11930547239132946
GlobalResidual,0.8,80,RollingMean,4,2.0,2 h,5,0.8184497141215618,0.10834415618548165,0.018449714121561666,0.06832488545817883,0.0749568803974677,17.08122136454471,18.739220099366925,0.13828782008010002
GlobalResidual,0.8,80,RollingMean,8,4.0,4 h,5,0.7697448572650243,0.12192216038578257,-0.03025514273497578,0.06800044643596992,0.07311350234734411,17.000111608992476,18.278375586836027,0.17186320746035072
GlobalResidual,0.9,90,Persistence,1,0.5,30 min,5,0.9248338605056567,0.0642729012456224,0.024833860505656634,0.10515838183014374,0.10927174232170986,26.28959545753594,27.317935580427463,0.17194093743122565
GlobalResidual,0.9,90,Persistence,2,1.0,1 h,5,0.922667015713424,0.07018560343143099,0.022667015713423954,0.10500289756138077,0.10873164352784966,26.25072439034519,27.182910881962414,0.18005376308342877
GlobalResidual,0.9,90,Persistence,4,2.0,2 h,5,0.9106162618804383,0.07635145643736233,0.010616261880438205,0.1046847980898437,0.10713816092594777,26.171199522460928,26.784540231486936,0.18181935530262883
GlobalResidual,0.9,90,Persistence,8,4.0,4 h,5,0.8662260524940105,0.10043652856227445,-0.03377394750598954,0.10408194044516492,0.10526523584734097,26.020485111291237,26.316308961835244,0.22365808719414818
GlobalResidual,0.9,90,RandomForest,1,0.5,30 min,5,0.852724589912284,0.09422250945152469,-0.047275410087716074,0.11333734060655232,0.12034269984910657,28.334335151638083,30.08567496227664,0.192490523030369
GlobalResidual,0.9,90,RandomForest,2,1.0,1 h,5,0.825940737714447,0.09440296979737355,-0.07405926228555296,0.11390924739256907,0.1212984977497202,28.477311848142268,30.324624437430042,0.2238919999772217
GlobalResidual,0.9,90,RandomForest,4,2.0,2 h,5,0.7796906967424493,0.10206062035576954,-0.12030930325755067,0.11454000629255767,0.1231388198958008,28.63500157313942,30.784704973950205,0.3190161703451619
GlobalResidual,0.9,90,RandomForest,8,4.0,4 h,5,0.7332924433946432,0.10699168001900004,-0.16670755660535685,0.11741628214702293,0.12290164704765916,29.354070536755735,30.725411761914792,0.8748626804503304
GlobalResidual,0.9,90,Ridge,1,0.5,30 min,5,0.9248834171178044,0.06505492453668567,0.024883417117804462,0.109218855466452,0.11391959721460117,27.304713866613003,28.479899303650296,0.15441274947604536
GlobalResidual,0.9,90,Ridge,2,1.0,1 h,5,0.9177174288080459,0.07230154159578175,0.017717428808045742,0.10996948326109428,0.11452633230167304,27.492370815273567,28.631583075418256,0.16224545729186243
GlobalResidual,0.9,90,Ridge,4,2.0,2 h,5,0.8883324600922361,0.09599448609503222,-0.01166753990776397,0.11065386563283883,0.11484284780741741,27.663466408209707,28.710711951854353,0.18488477473366285
GlobalResidual,0.9,90,Ridge,8,4.0,4 h,5,0.8652288506342476,0.11591032707602299,-0.03477114936575241,0.1128407950697147,0.11609709195680688,28.210198767428672,29.024272989201723,0.22844628241469342
GlobalResidual,0.9,90,RollingMean,1,0.5,30 min,5,0.9299345745463903,0.062231731334909265,0.029934574546390237,0.10541546273384483,0.11051970753439042,26.35386568346121,27.62992688359761,0.15212000073024046
GlobalResidual,0.9,90,RollingMean,2,1.0,1 h,5,0.9144870761323395,0.07379204937284155,0.014487076132339394,0.1052892613386942,0.10959228974761862,26.322315334673554,27.398072436904652,0.163983164556102
GlobalResidual,0.9,90,RollingMean,4,2.0,2 h,5,0.8826237911899859,0.09104942618414572,-0.017376208810013984,0.10498989345431775,0.10760920757606143,26.247473363579438,26.90230189401536,0.18655291381947098
GlobalResidual,0.9,90,RollingMean,8,4.0,4 h,5,0.850729137658375,0.10881773918477487,-0.04927086234162503,0.10437769458935738,0.1054527892367539,26.094423647339347,26.36319730918847,0.23630030466021376
GlobalResidual,0.95,95,Persistence,1,0.5,30 min,5,0.9495407951188197,0.05016998477041313,-0.00045920488118023073,0.13788155490930404,0.13872517907254575,34.47038872732601,34.68129476813643,0.22326054292113534
GlobalResidual,0.95,95,Persistence,2,1.0,1 h,5,0.9445441078291831,0.052355672070886906,-0.005455892170816834,0.1376621852238437,0.13818508027868553,34.41554630596093,34.54627006967138,0.23769423373612603
GlobalResidual,0.95,95,Persistence,4,2.0,2 h,5,0.9383957031063919,0.06076189531724482,-0.011604296893608113,0.13719883175368142,0.13645136586094914,34.299707938420354,34.11284146523728,0.23470525410769186
GlobalResidual,0.95,95,Persistence,8,4.0,4 h,5,0.9123666672033481,0.07655146087868325,-0.03763333279665182,0.1363345300908257,0.13432288118723498,34.083632522706424,33.58072029680875,0.29081180721466937
GlobalResidual,0.95,95,RandomForest,1,0.5,30 min,5,0.9227906273157686,0.07646691413548636,-0.027209372684231337,0.1474152554092507,0.1547660593147022,36.85381385231268,38.69151482867555,0.2123457718319799
GlobalResidual,0.95,95,RandomForest,2,1.0,1 h,5,0.9101518414988752,0.0850787171649384,-0.039848158501124775,0.14838191797460815,0.15564003064896909,37.095479493652036,38.910007662242265,0.24628932212597815
GlobalResidual,0.95,95,RandomForest,4,2.0,2 h,5,0.8461451970371124,0.09641969906271403,-0.10385480296288747,0.14969170145620198,0.15838801894474566,37.4229253640505,39.59700473618641,0.40264214964942757
GlobalResidual,0.95,95,RandomForest,8,4.0,4 h,5,0.7813892875654839,0.09440820144385445,-0.16861071243451614,0.15292513086925807,0.15704136795997314,38.23128271731452,39.260341989993286,1.457754846803551
GlobalResidual,0.95,95,Ridge,1,0.5,30 min,5,0.9558661397105791,0.04739976990531166,0.0058661397105790325,0.14244903332058073,0.1436783477673573,35.61225833014519,35.91958694183933,0.18760195546133232
GlobalResidual,0.95,95,Ridge,2,1.0,1 h,5,0.9519302176379562,0.04859157531281627,0.0019302176379562442,0.1432360545846608,0.14474851841600966,35.8090136461652,36.187129604002415,0.19862444583174163
GlobalResidual,0.95,95,Ridge,4,2.0,2 h,5,0.9311036646510619,0.0730159650488524,-0.018896335348937976,0.14387892275884848,0.14509169395367646,35.969730689712115,36.272923488419124,0.22542035495466778
GlobalResidual,0.95,95,Ridge,8,4.0,4 h,5,0.9084872477686338,0.08957302836205322,-0.04151275223136615,0.146086129450991,0.14695347491063412,36.52153236274775,36.73836872765853,0.28917300036211147
GlobalResidual,0.95,95,RollingMean,1,0.5,30 min,5,0.9575768956265513,0.04228158661745029,0.007576895626551306,0.13816416497123513,0.1395836152520378,34.54104124280879,34.89590381300945,0.188298315561983
GlobalResidual,0.95,95,RollingMean,2,1.0,1 h,5,0.9458242309518028,0.052107530444909254,-0.004175769048197253,0.1379719982612782,0.13865619746526597,34.49299956531955,34.66404936631649,0.20244027283818594
GlobalResidual,0.95,95,RollingMean,4,2.0,2 h,5,0.9327717304409446,0.06817595849597667,-0.01722826955905519,0.13753533591704156,0.13657673609109217,34.38383397926039,34.14418402277304,0.23095740832026
GlobalResidual,0.95,95,RollingMean,8,4.0,4 h,5,0.8973599504364763,0.08834104810154683,-0.05264004956352366,0.13663229716484848,0.13422991611273583,34.15807429121212,33.557479028183955,0.30263805316588194
KDEResidual_ModelHorizon,0.8,80,Persistence,1,0.5,30 min,5,0.8687659541828816,0.07474652755223263,0.06876595418288163,0.05612871158568542,0.06245904119420712,14.032177896421354,15.614760298551781,0.11438015486532167
KDEResidual_ModelHorizon,0.8,80,Persistence,2,1.0,1 h,5,0.8657897209067107,0.07890029467567426,0.0657897209067106,0.06104651923565905,0.06804029289064571,15.261629808914766,17.01007322266143,0.12157473670329517
KDEResidual_ModelHorizon,0.8,80,Persistence,4,2.0,2 h,5,0.8606824143143512,0.08493389688158542,0.060682414314351306,0.06887271453167651,0.07631567760350148,17.218178632919127,19.07891940087537,0.12795660579907484
KDEResidual_ModelHorizon,0.8,80,Persistence,8,4.0,4 h,5,0.8390034564953861,0.09313287429931069,0.0390034564953861,0.08797191152934956,0.09163204580009118,21.992977882337392,22.90801145002279,0.158243940264744
KDEResidual_ModelHorizon,0.8,80,RandomForest,1,0.5,30 min,5,0.7498249812742224,0.10501831936990517,-0.050175018725777655,0.06757732510357409,0.0737931833420508,16.89433127589352,18.448295835512702,0.15174564336672342
KDEResidual_ModelHorizon,0.8,80,RandomForest,2,1.0,1 h,5,0.7352206500928141,0.11308527161096418,-0.06477934990718588,0.070341132282527,0.07685650272224318,17.585283070631753,19.214125680560795,0.17330990547090858
KDEResidual_ModelHorizon,0.8,80,RandomForest,4,2.0,2 h,5,0.727981431778958,0.10375630262746918,-0.07201856822104202,0.08005632618245026,0.08988342681483,20.014081545612566,22.4708567037075,0.21644160234571555
KDEResidual_ModelHorizon,0.8,80,RandomForest,8,4.0,4 h,5,0.7197150944125281,0.09830132709999985,-0.08028490558747192,0.10256327710664015,0.1095529476366633,25.64081927666004,27.388236909165823,0.4844413344243497
KDEResidual_ModelHorizon,0.8,80,Ridge,1,0.5,30 min,5,0.8424720519215019,0.10494139722485168,0.04247205192150179,0.06345597964826791,0.06906600988583582,15.863994912066977,17.266502471458956,0.1121580723424626
KDEResidual_ModelHorizon,0.8,80,Ridge,2,1.0,1 h,5,0.8440311853995464,0.10404167015996126,0.04403118539954629,0.06736129116946374,0.07289294213656147,16.840322792365935,18.223235534140372,0.11890763183114235
KDEResidual_ModelHorizon,0.8,80,Ridge,4,2.0,2 h,5,0.8340730858667398,0.12391399946551318,0.03407308586673965,0.07891266609491285,0.08442365251033337,19.728166523728213,21.105913127583342,0.1391196039032993
KDEResidual_ModelHorizon,0.8,80,Ridge,8,4.0,4 h,5,0.8435295496058609,0.11673956276065194,0.04352954960586088,0.1027630759892046,0.10796268155090352,25.69076899730115,26.990670387725878,0.16808807639636938
KDEResidual_ModelHorizon,0.8,80,RollingMean,1,0.5,30 min,5,0.8515518067590376,0.09769980865247124,0.0515518067590375,0.06006354347054865,0.06690760069088282,15.015885867637163,16.726900172720704,0.1086031898208818
KDEResidual_ModelHorizon,0.8,80,RollingMean,2,1.0,1 h,5,0.8383670097797244,0.10102054538115496,0.03836700977972438,0.06406745092911677,0.07093499896515135,16.016862732279193,17.733749741287834,0.11979488280412935
KDEResidual_ModelHorizon,0.8,80,RollingMean,4,2.0,2 h,5,0.827491716357145,0.1094281957631366,0.02749171635714498,0.07424937590642494,0.08030699196359013,18.562343976606236,20.076747990897534,0.14002759794925984
KDEResidual_ModelHorizon,0.8,80,RollingMean,8,4.0,4 h,5,0.8270188727915933,0.1104127618635701,0.027018872791593207,0.09258314944051724,0.09585169352422633,23.14578736012931,23.962923381056584,0.17033775308401194
KDEResidual_ModelHorizon,0.9,90,Persistence,1,0.5,30 min,5,0.9133603097072628,0.07384455801600315,0.01336030970726274,0.08953194969289423,0.09481911669775947,22.382987423223557,23.704779174439867,0.1708795372381351
