scenario,scenario_name,fold_id,segment_id,start_time,end_time,n_samples,duration_days,soc_min,soc_max,throughput_kwh,final_equivalent_full_cycles,mean_charge_c_rate_proxy,p95_charge_c_rate_proxy,mean_discharge_c_rate_proxy,p95_discharge_c_rate_proxy,max_abs_power_tracking_error_kw,max_temperature_model_c,final_soh_Q,final_soh_R,soc_range,throughput_kwh_per_day,equivalent_full_cycles_per_day,delta_soh_Q,delta_soh_R,delta_soh_Q_per_day,delta_soh_R_per_day
C,Forecast-informed smoothing,1,h1_fold1_seg6,2025-05-29 13:00:00,2025-05-30 03:00:00,29,0.6041666666666666,0.4519216522786137,0.5520531948563613,43.33754397883919,0.05702308418268314,0.00016931915475366333,0.0011208757159281682,0.007695933835961083,0.01608415712637555,3.934630399271555e-13,24.988969620839583,0.9981810151517094,1.000028072494424,0.10013154257774759,71.73110727532004,0.09438303588857899,0.0018189848482905724,2.8072494423936334e-05,0.0030107335419981888,4.646481835686014e-05
C,Forecast-informed smoothing,1,h1_fold1_seg7,2025-05-30 16:30:00,2025-06-02 13:00:00,138,2.875,0.31801153675900695,0.679805255848543,582.6069528543202,0.7665880958609476,0.011999111410844148,0.06899614493522922,0.010220833396719597,0.05182251261291265,5.46229728115577e-13,25.364496700462958,0.9957481504803203,1.000135648608235,0.36179371908953606,202.64589664498092,0.26663933769076437,0.004251849519679718,0.0001356486082348951,0.0014789041807581628,4.718212460344178e-05
C,Forecast-informed smoothing,1,h1_fold1_seg8,2025-06-03 02:30:00,2025-06-06 01:30:00,143,2.9791666666666665,0.22248056652054982,0.7946851204459983,612.2512553837928,0.8055937570839384,0.00849605762134739,0.04807029581364703,0.014038033485895598,0.05601100401270399,5.6710192097853e-13,25.20622079609873,0.9956196616815604,1.0001327349569566,0.5722045539254484,205.51091089805632,0.2704090932869164,0.004380338318439647,0.00013273495695664828,0.0014703233516440775,4.4554391146287534e-05
C,Forecast-informed smoothing,2,h1_fold2_seg1,2025-05-27 13:30:00,2025-05-28 23:00:00,68,1.4166666666666667,0.32607195258539545,0.6604258186153238,340.083339921773,0.44747807884443824,0.012979499266828438,0.06420922068920014,0.0133427406651974,0.05561535785573508,5.755396159656812e-13,25.402315441482678,0.9969105973916184,1.0000679687261889,0.33435386602992834,240.05882818007507,0.31586687918430933,0.0030894026083816417,6.796872618886063e-05,0.002180754782387041,4.79779243686075e-05
C,Forecast-informed smoothing,2,h1_fold2_seg2,2025-05-29 13:00:00,2025-05-30 03:00:00,29,0.6041666666666666,0.4518964105304354,0.5520834849637808,43.40178492625555,0.057107611745073096,0.0001718582690962897,0.0011631105628527253,0.0077050536957411694,0.016214683214987924,5.38680211548126e-13,24.988894534473186,0.9981810936648289,1.000028072792059,0.1001870744333454,71.83743711931953,0.09452294357805202,0.001818906335171122,2.807279205896407e-05,0.003010603589248754,4.646531099414743e-05
C,Forecast-informed smoothing,2,h1_fold2_seg3,2025-05-30 16:30:00,2025-06-02 13:00:00,138,2.875,0.31742193652618517,0.6802467752658706,579.878760329046,0.7629983688540077,0.011951120833105143,0.06907931275454095,0.010164773916286266,0.05092054211278452,6.510347816401918e-13,25.353827099963297,0.995753368643054,1.0001355917324406,0.36282483873968546,201.6969601144508,0.26539073699269833,0.004246631356946029,0.00013559173244059863,0.0014770891676334013,4.716234171846909e-05
C,Forecast-informed smoothing,2,h1_fold2_seg4,2025-06-03 02:30:00,2025-06-06 13:00:00,166,3.4583333333333335,0.22152754301375058,0.7951720996627447,745.2624211253924,0.9806084488492004,0.009423470012620954,0.052749362721255154,0.014205649236757305,0.05544026936003582,6.981082378842984e-13,25.203240156250363,0.9952703348509129,1.0001560781111944,0.5736445566489942,215.49756755433032,0.2835494309925399,0.0047296651490871255,0.00015607811119444648,0.0013676140190131446,4.513102010441826e-05
C,Forecast-informed smoothing,2,h1_fold2_seg5,2025-06-07 02:30:00,2025-06-08 04:00:00,52,1.0833333333333333,0.44135775872627503,0.5638811827688429,91.7681506168314,0.12074756660109395,0.00218482367554947,0.00937871928970316,0.007103450678380743,0.020168061114228055,6.812328479099961e-13,25.014747544291428,0.9975531897571409,1.00005036319642,0.12252342404256789,84.70906210784437,0.11145929224716365,0.0024468102428590877,5.036319641993359e-05,0.0022585940703314655,4.648910438763101e-05
C,Forecast-informed smoothing,2,h1_fold2_seg6,2025-06-08 22:30:00,2025-06-09 13:00:00,30,0.625,0.41018775537665525,0.5963370904611346,91.40540401960861,0.12027026844685343,0.0015855690734823647,0.01257699333609083,0.01445046671943136,0.03372869948889837,4.729550084903167e-13,25.008104540051697,0.9980029019457782,1.0000298500208396,0.18614933508447934,146.24864643137377,0.19243242951496548,0.0019970980542217687,2.985002083955024e-05,0.00319535688675483,4.7760033343280384e-05
C,Forecast-informed smoothing,2,h1_fold2_seg7,2025-06-10 02:30:00,2025-06-12 16:30:00,125,2.6041666666666665,0.3396843340957788,0.6721493451193525,141.27963624965358,0.1858942582232284,0.00034374486575480486,0.0,0.005604871397388581,0.009023425944747655,5.737632591262809e-13,24.99244836193534,0.9960882451185915,1.000120189065936,0.33246501102357373,54.251380319866975,0.0713833951577197,0.003911754881408491,0.00012018906593591616,0.0015021138744608607,4.615260131939181e-05
C,Forecast-informed smoothing,2,h1_fold2_seg8,2025-06-13 06:00:00,2025-06-13 12:00:00,13,0.2708333333333333,0.43881138797427427,0.5559822343899783,67.93560799922379,0.08938895789371554,0.020306598769943143,0.0693816235402429,0.007197695966584239,0.027125145647878584,4.902744876744691e-13,25.237611464021263,0.9986718400149472,1.0000132279129053,0.11717084641570402,250.839167997134,0.3300515368383343,0.001328159985052757,1.3227912905255934e-05,0.004903975329425565,4.8841524573252683e-05
