scenario,scenario_name,smoothing_window_min,smoothing_window_label,horizon_steps,horizon_hours,horizon_label,fold_id,n_samples,mean_p_wec_kw,mean_p_grid_kw,raw_energy_kwh,grid_energy_kwh,grid_to_raw_energy_ratio,charge_energy_kwh,discharge_energy_kwh,net_balancing_energy_kwh,raw_ramp_p95_kw_per_step,grid_ramp_p95_kw_per_step,ramp_p95_reduction_percent,raw_ramp_max_kw_per_step,grid_ramp_max_kw_per_step,ramp_max_reduction_percent,max_charge_power_kw,max_discharge_power_kw,storage_power_rating_kw,p95_abs_storage_power_kw,required_energy_kwh,required_energy_hours_at_mean_power,required_energy_hours_at_rated_power,throughput_kwh,equivalent_full_cycles,soc_min,soc_max,mean_storage_envelope_width_kw,possible_discharge_from_lower_bound_kw,possible_charge_from_upper_bound_kw
C,Forecast-informed smoothing,30,30 min,1,0.5,30 min,3.0,657.8,19.91957827158587,21.03202510750268,6398.973852230895,6769.917082661089,1.0661164420080127,586.0075208871224,956.9507513173161,-370.94323043019364,17.97120793491076,5.743395952172454,67.36664601134278,48.007921536505776,15.475290930411978,67.53347308290898,40.20311997444092,29.922959001932476,40.20311997444092,16.312599269299366,177.52747691686457,9.78280418208387,0.7101099076674583,1542.9582722044383,4.352123164109351,0.0,1.0,22.575888616682743,13.147836015985973,13.147836015985973
C,Forecast-informed smoothing,30,30 min,2,1.0,1 h,3.0,651.6,19.840672402427973,21.131231332502036,6309.826825199026,6737.817358909609,1.0786866246463407,627.0482858656226,1055.038819576205,-427.99053371058255,17.833002999841593,5.029077482426119,70.55340322587249,45.10372687767152,12.839670224342864,69.69073047606426,43.13181985636491,34.40832704990932,43.13181985636491,17.192637648948597,220.53696771607164,12.15332734290221,0.8821478708642866,1682.0871054418276,3.800774413623593,0.0,1.0,24.023372770859083,13.975092462495729,13.975092462495732
C,Forecast-informed smoothing,30,30 min,4,2.0,2 h,3.0,639.0,19.543616213116305,21.100796303940847,6092.686690645037,6598.07930625633,1.0960982676127453,707.7245032697685,1213.1171188810617,-505.3926156112933,17.326274407944833,5.339728928154098,68.57467138494113,39.91158133156652,12.404262794614517,66.74855274754762,39.77737407275562,29.513946239835242,39.95730890799733,20.36657290008357,280.92090600505765,15.288661762195892,1.1236836240202304,1920.8416221508305,3.3872868672277945,0.0,1.0,28.00090971070489,16.636687323041436,16.63668732304144
C,Forecast-informed smoothing,30,30 min,8,4.0,4 h,3.0,614.4,19.07999212763017,21.262323130253524,5712.500683711126,6392.01101689696,1.1391069123704403,830.7983463655521,1510.3086795513873,-679.5103331858352,16.754679431083623,5.729501878796748,65.61551537836245,39.91158133156652,13.61484828065905,65.17463041085625,44.35575246047902,35.70304345930587,44.36324932318686,23.50460299563426,417.05665368864555,23.296162319076576,1.6682266147545826,2341.107025916939,2.7951754685737993,0.0,1.0,34.5719382129285,20.892874798773637,20.89287479877364
C,Forecast-informed smoothing,60,1 h,1,0.5,30 min,3.0,657.8,19.91957827158587,21.049495622431532,6398.973852230895,6775.738849274159,1.0671118342506356,601.8766056683613,978.6416027116262,-376.7649970432649,17.97120793491076,4.0558170907171665,75.96284231413665,48.007921536505776,8.47930073423419,82.13366844781031,39.70412024365747,31.50626732754701,39.70412024365747,17.00427606199596,185.38698186366213,10.090978465944824,0.7415479274546486,1580.5182083799875,4.243113747771855,0.0,1.0,22.575888616682743,20.193972957077484,20.42921844187494
C,Forecast-informed smoothing,60,1 h,2,1.0,1 h,3.0,651.6,19.840672402427973,21.14926121137166,6309.826825199026,6743.781594102926,1.0797289771442282,647.5667076961874,1081.5214766000863,-433.9547689038989,17.833002999841593,3.8737706773006737,76.61287892444793,45.10372687767152,7.91665338187309,81.25837309252488,41.07270475769687,33.579108557036385,41.07270475769687,17.866380994350738,227.9083875510791,12.440529154867923,0.9116335502043166,1729.088184296274,3.7694863868270962,0.0,1.0,24.023372770859083,19.79795643695085,20.392368132672296
C,Forecast-informed smoothing,60,1 h,4,2.0,2 h,3.0,639.0,19.543616213116305,21.120248533857755,6092.686690645037,6604.385604018082,1.0972635603171095,724.5398954049659,1236.2388087780112,-511.6989133730452,17.326274407944833,3.9789322227769524,75.48583231768224,39.91158133156652,8.232309735219086,78.48375954308827,39.816087040157036,30.84400335235399,39.816087040157036,19.98520406862656,288.25624650872777,15.581827765822652,1.1530249860349113,1960.7787041829772,3.3828737799734725,0.0,1.0,28.00090971070489,22.777645380377553,22.17533581803928
C,Forecast-informed smoothing,60,1 h,8,4.0,4 h,3.0,614.4,19.07999212763017,21.260447644497525,5712.500683711126,6391.63706770777,1.1391648103787542,845.3816342758233,1524.5180182724678,-679.1363839966446,16.754679431083623,3.9336094512537043,75.57179949521044,39.91158133156652,8.756497075929904,77.01485476169943,44.45143650840087,37.70847039088311,44.86625871061809,23.786618467695753,423.4109047908454,23.568469736644744,1.6936436191633817,2369.899652548291,2.79386293608806,0.0,1.0,34.5719382129285,26.16267652404672,27.700298939103153
C,Forecast-informed smoothing,120,2 h,1,0.5,30 min,3.0,657.8,19.91957827158587,21.081531827158233,6398.973852230895,6786.406988777686,1.0689369155905761,648.8025014431985,1036.235637989989,-387.43313654679065,17.97120793491076,3.0491631646734474,81.2118738135957,48.007921536505776,6.741857433887569,86.31325766253467,40.454771245663764,30.762816488397288,40.454771245663764,18.09976649623781,200.93831032301847,10.689056559065515,0.803753241292074,1685.0381394331878,4.165402341570664,0.0,1.0,22.575888616682743,23.137901936685687,23.7581900358789
C,Forecast-informed smoothing,120,2 h,2,1.0,1 h,3.0,651.6,19.840672402427973,21.182629290566606,6309.826825199026,6754.687532111452,1.0815835303608703,698.1513786586277,1143.012085571053,-444.8607069124252,17.833002999841593,3.0238432016155894,80.88437472226381,45.10372687767152,5.551209452900596,87.34742730956069,41.25860487255345,29.883804830037622,41.25860487255345,19.61369237723401,243.65755633015874,13.050507183159217,0.9746302253206348,1841.1634642296806,3.7567440892085586,0.0,1.0,24.023372770859083,23.238117687689513,23.616355403244274
